CPU_MEM_TOTAL: 394153260
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 1
REQUESTED_CPUS: 1
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c696
NODE_NAME: c696
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0   5964 372384896   5060 5081596    0    0     1     2    0    0 35  1 63  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0   5964 375072192   5060 5519312    0    0     0     0 10566  499 21  0 79  0  0
10  0   5964 375072192   5060 5519312    0    0     0     0 10566  499 21  0 79  0  0
11  0   5964 375072288   5060 5519316    0    0     0     0 10565  465 21  0 79  0  0
10  0   5964 375072288   5060 5519316    0    0     0     0 10565  465 21  0 79  0  0
11  0   5964 375068672   5060 5522676    0    0     0     7 10544  490 21  0 79  0  0
10  0   5964 375068672   5060 5522676    0    0     0     7 10544  490 21  0 79  0  0
11  0   5964 375065056   5060 5526028    0    0     0     0 10513  450 21  0 79  0  0
10  0   5964 375065056   5060 5526028    0    0     0     0 10513  450 21  0 79  0  0
11  0   5964 375061600   5060 5529392    0    0     0     0 10699  734 21  0 79  0  0
10  0   5964 375061600   5060 5529392    0    0     0     0 10699  734 21  0 79  0  0
11  0   5964 375058176   5060 5532748    0    0     0     3 10540  444 21  0 79  0  0
10  0   5964 375058176   5060 5532748    0    0     0     3 10540  444 21  0 79  0  0
11  0   5964 375054592   5060 5536108    0    0     0     0 10627  437 21  0 79  0  0
10  0   5964 375054592   5060 5536108    0    0     0     0 10627  437 21  0 79  0  0
11  0   5964 375051168   5060 5539460    0    0     0     0 10640  464 21  0 79  0  0
10  0   5964 375051168   5060 5539460    0    0     0     0 10640  464 21  0 79  0  0
12  0   5964 375031104   5060 5542816    0    0     0     9 10593  450 21  0 79  0  0
11  0   5964 375031104   5060 5542816    0    0     0     9 10593  450 21  0 79  0  0
11  0   5964 375027520   5060 5546176    0    0     0     0 10576  485 21  0 79  0  0
10  0   5964 375027520   5060 5546176    0    0     0     0 10576  485 21  0 79  0  0
11  0   5964 375024896   5060 5548452    0    0     0     0 10687  695 21  0 79  0  0
10  0   5964 375024896   5060 5548452    0    0     0     0 10687  695 21  0 79  0  0
11  0   5964 375023648   5060 5549536    0    0     0     1 10568  413 21  0 79  0  0
10  0   5964 375023648   5060 5549536    0    0     0     1 10568  413 21  0 79  0  0
11  0   5964 375020032   5060 5552888    0    0     0     0 10620  465 21  0 79  0  0
10  0   5964 375020032   5060 5552888    0    0     0     0 10620  465 21  0 79  0  0
11  0   5964 375019968   5060 5552896    0    0     0     0 10671  464 21  0 79  0  0
10  0   5964 375019968   5060 5552896    0    0     0     0 10671  464 21  0 79  0  0
11  0   5964 375016320   5060 5556248    0    0     0     8 10598  453 21  0 79  0  0
10  0   5964 375016320   5060 5556248    0    0     0     8 10598  453 21  0 79  0  0
11  0   5964 374997408   5060 5559604    0    0     0     0 10604  488 21  0 79  0  0
10  0   5964 374997408   5060 5559604    0    0     0     0 10604  488 21  0 79  0  0
11  0   5964 374993600   5060 5562964    0    0     0     0 10804  769 21  0 79  0  0
10  0   5964 374993600   5060 5562964    0    0     0     0 10804  769 21  0 79  0  0
11  0   5964 374990080   5060 5566320    0    0     0     5 10635  489 21  0 79  0  0
10  0   5964 374990080   5060 5566320    0    0     0     5 10635  489 21  0 79  0  0
11  0   5964 374986528   5060 5569672    0    0     0     0 10625  479 21  0 79  0  0
